0,ÂéÆÅ¶¹¸¯,Mapo Tofu
1,¼Ò³£¶¹¸¯,Home style sauteed Tofu
2,¼å¶¹¸¯,Fried Tofu
3,¶¹¸¯»¨,Bean curd
4,³ô¶¹¸¯,Stinky tofu
5,ËáÀ±ÍÁ¶¹Ë¿,Potato silk
6,ÍÁ¶¹Äà,Pan fried potato
7,Ïã¼åÍÁ¶¹,Pan fried potato
8,ÍÁ¶¹ìË¶¹½Ç,Braised beans with potato
9,µØÈıÏÊ,"Fried Potato, Green Pepper & Eggplant"
10,ÊíÌõ,French fries
11,ÓãÏãÇÑ×Ó,Yu-Shiang Eggplant
12,ËâÄàÇÑ×Ó,Mashed garlic eggplant
13,ÈâÄ©ÇÑ×Ó,Eggplant with mince pork
14,À±°×²Ë,Spicy cabbage
15,´×Áï°×²Ë,Sour cabbage
16,ÉÏÌÀÍŞÍŞ²Ë,Steamed Baby Cabbage
17,ÊÖËº°ü²Ë,Shredded cabbage
18,òºÓÍÉú²Ë,Sauteed Lettuce in Oyster Sauce
19,³´Çà²Ë,Saute vegetable
20,³´¿ÕĞÄ²Ë,tumis kangkung
21,ËâÈØÓÍÂó²Ë,Lettuce with smashed garlic
22,Çå³´²¤²Ë,Sauteed spainch
23,³´¶¹Ñ¿,Sauteed bean sprouts
24,³´²Ï¶¹,Sauteed broad beans
25,Ã«¶¹,Soybean
26,òºÓÍÎ÷À¼»¨,Broccoli with Oyster Sauce
27,Ïã¼åÅººĞ,Deep Fried lotus root
28,Á«Åº,Lotus root
29,Á¹°èÎ÷ºìÊÁ,Tomato salad
30,¼¦Ñ¼ëÓ,Gizzard
31,Á¹°èÄ¾¶ú,Black Fungus in Vinegar Sauce
32,¿ÚË®»Æ¹Ï,Cucumber in Sauce
33,»¨ÉúÃ×,peanut
34,Á¹°èº£´øË¿,Seaweed salad
35,°ÎË¿É½Ò©,Chinese Yam in Hot Toffee
36,Çå³´É½Ò©,Fried Yam
37,¸ÉìÔ¶¹½Ç,Fried beans
38,òºÓÍĞÓ±«¹½,Oyster mushroom
39,Äğ¿à¹Ï,stuffed bitter melon
40,³´¿à¹Ï,sauteed bitter melon
41,»¢Æ¤Çà½·,pepper with tiger skin
42,Á¹°è¸¯Öñ,Yuba salad
43,³´»¨²Ë,fried cauliflower
44,ËÉÈÊÓñÃ×,Sauteed Sweet Corn with Pine Nuts
45,Ïã¹½Çà²Ë,Sauted Chinese Greens with Mushrooms
46,½·ÑÎÄ¢¹½,Spiced mushroom
47,ÇÛ²ËÏã¸É,Celery and tofu
48,Î÷ÇÛ°ÙºÏ,Sauteed Lily Bulbs and Celery
49,¾Â²Ë³´Ïã¸É,Leak and tofu
50,Î÷ºìÊÁ³´¼¦µ°,Scrambled egg with tomato
51,¾Â²Ë³´¼¦µ°,Scrambled Egg with Leek
52,»Æ¹Ï³´¼¦µ°,Scrambled Egg with cucumber
53,¼¦µ°¸ş,Steamed egg custard
54,Öí¸Î,Pork liver
55,Öí¶ú¶ä,Pig ears
56,²æÉÕ,roast pork
57,·ÛÕôÅÅ¹Ç,Steamed pork with rice powder
58,ÌÇ´×ÅÅ¹Ç,Sweet and sour spareribs
59,º£´øìÀÅÅ¹Ç,Braised spareribs with kelp
60,¿ÉÀÖ¼¦³á,Cola Chicken wings
61,Åİ½··ï×¦,Chicken Feet with Pickled Peppers
62,ºìÉÕ¼¦×¦,Chicken Feet with black bean sauce
63,¿ÚË®¼¦,Steamed Chicken with Chili Sauce
64,¿¾Ñ¼ÉÕ¶ì,Roast goose
65,°×Õ¶¼¦,Boiled chicken
66,´óÅÌ¼¦,Saute Spicy Chicken
67,Ïã¹½Õô¼¦,Steamed Chicken with Mushroom
68,»ÆìË¼¦,chicken braised with brown sauce
69,ôùÓÍ¼¦,Soy sauce chicken
70,À±×Ó¼¦,Spicy Chicken
71,¹¬±£¼¦¶¡,Kung Pao Chicken
72,Èı±­¼¦,Stewed Chicken with Three Cups Sauce
73,¼¦Ë¿¡¢¼¦Ë¿Ãæ,Shredded chicken
74,Õ¨¼¦ÍÈ,Fried chicken drumsticks
75,Æ¡¾ÆÑ¼,Beer duck
76,Ñü»¨,Scalloped pork or lamb kidneys
77,ºìÉÕÈâ,Braised pork
78,ºìÉÕÅ£Èâ,Braised beef
79,½´Å£Èâ,Beef Seasoned with Soy Sauce
80,Î÷ºìÊÁÅ£ëî,Sirloin tomatoes
81,ÍÁ¶¹ìÀÅ£ëî,Stewed sirloin potatoes
82,º¼½·Å£Áø,Sauteed Beef Fillet with Hot Green Pepper
83,Ã·²Ë¿ÛÈâ,Pork with salted vegetable
84,»Ø¹øÈâ,Double cooked pork slices
85,ÖíÈâìÀ·ÛÌõ,Braised Pork with Vermicelli
86,Ë®ÖóÈâÆ¬,Boiled Shredded pork in chili oil
87,ÌÇ´×Àï¼¹,Fried Sweet and Sour Tenderloin
88,¹¾ààÈâ,Cripsy sweet & sour pork slices
89,¹ø°üÈâ,Pot bag meat
90,Å©¼ÒĞ¡³´Èâ,Shredded Pork with Vegetables
